From,To,Subject,Message,Day,Date & Time,url_count,Cleaned_Subject,Cleaned_Message,Combined_Text,Qwen2.5_Category
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Thursday,1/30/2022 5:57,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Tuesday,4/9/2022 21:52,1,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,4/27/2022 0:19,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Thursday,8/1/2022 9:10,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Thursday,6/20/2022 20:53,0,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Friday,11/14/2022 21:43,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Monday,11/16/2022 2:37,2,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Tuesday,7/20/2022 19:08,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Thursday,2/17/2022 10:47,1,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Monday,7/11/2022 21:22,2,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Wednesday,11/26/2022 13:35,1,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Tuesday,10/13/2022 3:28,1,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,8/21/2022 4:52,1,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Wednesday,9/1/2022 9:03,0,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Monday,3/17/2022 2:43,0,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Monday,1/16/2022 3:35,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Monday,6/19/2022 20:53,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Tuesday,5/9/2022 9:11,1,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Monday,4/18/2022 0:47,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Thursday,10/26/2022 13:10,0,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Wednesday,2/10/2022 18:33,0,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,12/26/2022 1:57,0,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Friday,6/14/2022 17:39,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Friday,11/28/2022 0:30,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Wednesday,10/3/2022 5:40,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,11/13/2022 0:43,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Thursday,5/28/2022 6:09,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Wednesday,1/25/2022 12:49,2,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Friday,6/9/2022 1:40,1,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Friday,8/18/2022 0:39,0,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,7/29/2022 13:03,0,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Wednesday,9/30/2022 1:31,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Tuesday,10/11/2022 5:20,0,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Tuesday,5/6/2022 4:17,1,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Tuesday,7/7/2022 11:55,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Friday,8/10/2022 18:06,0,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,7/18/2022 4:33,1,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Friday,10/13/2022 7:20,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Thursday,7/22/2022 13:46,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Thursday,11/25/2022 8:53,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Friday,4/4/2022 23:22,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Tuesday,11/11/2022 3:57,2,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Friday,12/8/2022 7:58,0,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Thursday,3/1/2022 9:37,0,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Monday,7/27/2022 6:52,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Thursday,9/10/2022 11:54,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,7/15/2022 1:18,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Friday,3/14/2022 6:11,1,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Friday,4/7/2022 9:05,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Monday,5/5/2022 10:09,1,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Wednesday,10/13/2022 19:01,1,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
